from_modelname,to_modelname,using,travel_label,from_option,to_option,color code,legend,code,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B22-A-fiducial,B22-A-fiducial,none,fiducial,1.00,1.00,1,Broekgaarden et al. (2022),COMPAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B22-B-beta0-25,B22-C-beta0-5,beta,$\beta \uparrow$ ,0.25,0.50,1,Broekgaarden et al. (2022),COMPAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B22-C-beta0-5,B22-D-beta0-75,beta,$\beta \uparrow$ ,0.50,0.75,1,Broekgaarden et al. (2022),COMPAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B22-A-fiducial,B22-E-unstableBB,caseBB stability,unstable caseBB,always stable,always unstable,1,Broekgaarden et al. (2022),COMPAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B22-E-unstableBB,B22-F-unstableBB-optimistic,optimistic ,optimistic CE ,pessimistic,optimistic ,1,Broekgaarden et al. (2022),COMPAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B22-H-alpha0-5,B22-G-alpha0-1,alpha,$\alpha \downarrow$ ,0.50,0.10,1,Broekgaarden et al. (2022),COMPAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B22-A-fiducial,B22-H-alpha0-5,alpha,$\alpha \downarrow$ ,1.00,0.50,1,Broekgaarden et al. (2022),COMPAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B22-A-fiducial,B22-I-alpha2,alpha,$\alpha \uparrow$ ,1.00,2.00,1,Broekgaarden et al. (2022),COMPAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B22-I-alpha2,B22-J-alpha10,alpha,$\alpha \uparrow$ ,2.00,10.00,1,Broekgaarden et al. (2022),COMPAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B22-A-fiducial,B22-K-optimisticCE,optimistic ,optimistic CE ,pessimistic,optimistic ,1,Broekgaarden et al. (2022),COMPAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
